id,Question,Option,Answer,subject,group
2789,"In the inherited disorder called Pompe disease, glycogen breakdown in the cytosol occurs normally and blood glucose levels are normal, yet glycogen accumulates in lysosomes. This suggests a malfunction with","A. enzymes in the lysosomes
B. enzymes in the mitochondria
C. membrane transport during exocytosis
D. membrane transport during endocytosis",A,high_school_biology,stem
4931,"After collecting and analyzing the responses of 2,000 randomly selected study participants, Adeel finds that college juniors who work at paying jobs 15 hours a week get higher grades than juniors who don't have paying jobs or who work full time. Which of the following research methods did Adeel use?","A. experimental
B. naturalistic observation
C. case study
D. survey",D,high_school_psychology,social_sciences
966,The +1 oxidation state is more stable than the +3 oxidation state for which group 13 element?,"A. B
B. Al
C. In
D. Tl",D,college_chemistry,stem
9862,"According to Stevenson, empirical methods:","A. are never useful in resolving ethical disagreement.
B. are sometimes useful in resolving ethical disagreement, but are not always sufficient.
C. are in principle always sufficient for resolving ethical disagreement.
D. provide the only responsible way to engage in moral philosophy.",B,philosophy,humanities
9667,"Maternal weight gain is usually monitored in pregnancy. Which of the following statements is/are true:
","A. research to define pattern and level of optimal weight gain is ongoing
B. both inadequate and excessive weight gain are associated with poorer maternal and infant health outcomes
C. excessive maternal weight gain in pregnancy has been linked to obesity in the offspring
D. all of the options given are correct",D,nutrition,other
8696,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I deforested in the rainforest. Scenario 2 | I felt like vomiting so I reached for my host's fur coat.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",A,moral_scenarios,humanities
4905,Substances that are toxic to humans often taste,"A. sour
B. sweet
C. salty
D. bitter",D,high_school_psychology,social_sciences
13516,Frank (1967) made the claim that 'underdeveloped' societies were:,"A. insufficiently involved in the international capitalist economy
B. reluctant to surrender their traditional ways of life
C. economically dependent on the wealthy countries that exploited them
D. the 'metropoles' to which 'satellite' countries were attached",C,sociology,social_sciences
13930,Which is one of the most fundamental themes of Japanese culture and civilization?,"A. God is eternal and merciful to those who offer worship
B. Humans can align themselves with life energy through worship of kami
C. Justice will be the final outcome in the next world
D. Power and force are the most divine attributes",A,world_religions,humanities
13346,How might weapons belonging to state military or police forces arrive on the illicit arms market?,"A. States are strong enough to ensure that their weaponry is kept within their control and not traded illegally.
B. There is no evidence to suggest that state-owned weapons could be traded illicitly as part of the black or grey arms markets.
C. Illegal trading by states is the primary way in which weapons purchased legally might end up on the illegal arms market.
D. Looting and theft, especially where corruption is endemic, states are weak, and weapons stockpiles are not properly secured.",D,security_studies,social_sciences
9061,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told my girlfriend her new glasses made her look like she was trying to look smart. Scenario 2 | As a horse trainer, it's my job to break horse's legs.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",A,moral_scenarios,humanities
9162,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The excitement of the car race made me cheer. Scenario 2 | I drove through the intersection before the stoplight turned green.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",C,moral_scenarios,humanities
9059,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stuck a knife in her exquisite back. Scenario 2 | I brought a file tool into the courtroom in case my verdict was guilty.","A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong",A,moral_scenarios,humanities
4968,"Mr. Thomas, a school psychologist, works with Ms. Riddle, a special education teacher, to meet the needs of Mark, a student with autism spectrum disorder. Mr. Thomas does not work with Mark directly; Ms. Riddle acts as his mediator. This collaboration is an example of which consultation model?","A. Systems
B. Resource
C. Triadic
D. Adaptive learning environments",C,high_school_psychology,social_sciences
